Source_Store,Category,Title,Price,Stock,URL
Nanotek,Processor,"INTEL CORE I5 14400F (20M CACHE, UP TO 4.70 GHZ)","56,000 LKR",In Stock,https://www.nanotek.lk/product/intel-core-i5-14400f-20m-cache-up-to-470-ghz
Nanotek,Processor,"INTEL CORE I5 14400 (20M CACHE, UP TO 4.70 GHZ)","59,000 LKR",In Stock,https://www.nanotek.lk/product/intel-core-i5-14400-20m-cache-up-to-470-ghz
Nanotek,Processor,"Intel Core Ultra 5 225 (20M Cache, up to 4.90 GHz)","59,500 LKR",In stock,https://www.nanotek.lk/product/intel-core-ultra-5-225-20m-cache-up-to-490-ghz
Nanotek,Processor,"INTEL CORE I7 14700F (33M CACHE, UP TO 5.40 GHZ)","109,000 LKR",In Stock,https://www.nanotek.lk/product/intel-core-i7-14700f-33m-cache-up-to-540-ghz
Nanotek,Processor,AMD RYZEN 7 9850X3D (UP TO 5.6 GHZ 8-CORES 16-TREADS ) 96M CACHE,"169,000 LKR",In Stock,https://www.nanotek.lk/product/amd-ryzen-7-9850x3d-up-to-56-ghz-8-cores-16-treads-96m-cache
Nanotek,Processor,AMD Ryzen 7 9800X3D (Up to 5.2 GHz 8-Cores 16-Treads ) 96M Cache,"145,000 LKR",In Stock,https://www.nanotek.lk/product/amd-ryzen-7-9800x3d-up-to-52-ghz-8-cores-16-treads-96m-cache
Nanotek,Motherboards,ASUS ROG MAXIMUS Z890 HERO,"263,500 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-maximus-z890-hero
Nanotek,Motherboards,ASUS ROG STRIX X870E-H GAMING WIFI 7,"199,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-strix-x870e-h-gaming-wifi-7
Nanotek,Motherboards,ASUS ROG STRIX B860-F GAMING WIFI DDR5,"116,000 LKR",In Stock,https://www.nanotek.lk/product/asus-rog-strix-b860-f-gaming-wifi-ddr5
Nanotek,Motherboards,ASUS ROG STRIX B860-A GAMING WIFI DDR5,"102,000 LKR",In Stock,https://www.nanotek.lk/product/asus-rog-strix-b860-a-gaming-wifi-ddr5
Nanotek,Motherboards,ASUS TUF GAMING B550M-PLUS  DDR4,"72,500 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-b550m-plus-ddr4
Nanotek,Motherboards,ASUS TUF GAMING B550-PLUS DDR4,"76,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-b550-plus-ddr4
Nanotek,Motherboards,ASUS ROG STRIX Z790-A GAMING WIFI D4,"122,500 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-strix-z790-a-gaming-wifi-d4
Nanotek,Motherboards,ASUS PRIME Z890M-PLUS WIFI-CSM,"109,500 LKR",In Stock,https://www.nanotek.lk/product/asus-prime-z890m-plus-wifi-csm
Nanotek,Motherboards,ASUS PRIME A620M-K,"36,500 LKR",In Stock,https://www.nanotek.lk/product/asus-prime-a620m-k
Nanotek,Motherboards,ASUS ProArt B760-CREATOR,"73,000 LKR115,000 LKR",In Stock,https://www.nanotek.lk/product/asus-proart-b760-creator
Nanotek,Motherboards,ASUS PRIME B760M-A WIFI D5,"63,500 LKR",In Stock,https://www.nanotek.lk/product/asus-prime-b760m-a-wifi-d5
Nanotek,Motherboards,ASUS PRIME H510M-K R.20,"36,000 LKR",In Stock,https://www.nanotek.lk/product/asus-prime-h510m-k-r20
