Title,Price,Stock,URL
X- BRAND DEEP COOL LIGHT CO26 6PIN ARGB COOLING FAN,"Rs:1,950.00or 3 XRs:728.00with",In Stock,https://mdcomputers.lk/product/x-brand-deep-cool-light-co26-6pin-argb-cooling-fan/
X-BRAND CO27 PRISM 5 PRO LIGHT ARGB 6 PIN FAN,"Rs:1,950.00or 3 XRs:728.00with",In Stock,https://mdcomputers.lk/product/x-brand-co27-prism-5-pro-light-argb-6-pin-fan/
USB 3.0 4 PORT HUB 30CM,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/usb-3-0-4-port-hub-30cm/
RAPOO N200 WIRED 1600 DPI USB OPTICAL MOUSE( 06 MONTH WARRANTY ),"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/rapoo-n200-wired-1600-dpi-usb-optical-mouse/
RAPOO N100 OPTICAL MOUSE,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/rapoo-n100-optical-mouse/
LOGITECH M90 OPTICAL USB BRAND NEW MOUSE,"Rs:2,000.00Rs:2,400.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/mouse-logitech-m90-optical-usb/
FANTECH RHASTA II G13 PRO BRAND NEW GAMING MOUSE,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/fantech-g13-rhasta-ii-mouse/
Windows  installation,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/windows-installation/
MSI M88 Optical Mouse,"Rs:2,000.00Rs:4,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/msi-m88-optical-mouse/
AARET 120 RGB COOLIN FAN,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/aaret-120-rgb-coolin-fan/
USB 3.0 TO SATA CONVERTER,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/usb-3-0-to-sata-converter/
5M ALUMINIUM CAT6 CABLE,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/network-cable-5m/
JEDEL S-576 USB COLOURFUL LIGHTING SPEAKER,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/jedel-s-576-usb-colourful-lighting-speaker/
FANTECH GO W605 ERGONOMIC GRIP WIRELESS MOUSE,"Rs:2,000.00Rs:2,200.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/fantech-go-w605-ergonomic-grip-wireless-mouse/
TB60 TURBOGEAR RECHARGEABLE MOUSE,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/tb60-turbogear-rechargeable-mouse/
15.6 INCH LAPTOP POUCH,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/15-6-inch-laptop-pouch/
ALCATROZ  X-CRAFT CRYPTO GAMING MOUSE,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/alcatroz-x-craft-crypto-gaming-mouse/
BIAZE WX13 RJ45 EXTENSION NETWORK CABLE 2M,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/biaze-wx13-rj45-extension-network-cable-2m/
MT – WIKI 4 PORT PRINTER SWITCH,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/mt-wiki-4-port-printer-switch/
USB EXTENTION CABLE ( 10M ),"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/usb-extention-cable-10m/
VGA TO HDMI BROWEN BOX,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/vga-to-hdmi-browen-box/
HAVIT MS78GT WIRELESS BRAND NEW MOUSE – BLACK,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/havit-ms78gt-wireless-brand-new-mouse-black/
HAVIT MS76GT PLUS WIRLESS MOUSE – GREY & BLACK,"Rs:2,000.00Rs:2,100.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/havit-ms76gt-plus-wirless-mouse-grey-black/
10M PRINTER CABLE,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/10m-printer-cable/
CON337- Baseus Cafule 2M Nylon Braided Cable USB To Type-C QC3.0 2A Black-Grey – CATKLF-CG1- 1 Year Warranty,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/con337-baseus-cafule-2m-nylon-braided-cable-usb-to-type-c-qc3-0-2a-black-grey-catklf-cg1-1-year-warranty/
COOLMOON YH1 120MM 3-PIN 5V ARGB FAN,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/coolmoon-yh1-120mm-3-pin-5v-argb-fan/
